name,artist,id,danceability,energy,loudness,speechiness,acousticness,tempo,liveness,valence
Second Hand News,Birdy,1gMeaDUil7CnTkqctrg9U4,0.537,0.347,-9.732,0.0303,0.523,76.999,0.112,0.299
Whatever Tomorrow,Chet Faker,7hI6O280FAYYtNBOH2o8qM,0.4,0.506,-8.078,0.0412,0.14,165.155,0.129,0.248
Boilermaker,Royal Blood,6Ci6L6EeLqR6VHV1DBJy2S,0.446,0.778,-4.774,0.173,0.000201,94.508,0.0492,0.683
You Stupid Bitch,girl in red,5SlNyghWrCvJn5KCyrDrHw,0.514,0.848,-5.184,0.0526,0.00454,148.973,0.314,0.792
My Wife The Depression,AVEC,4Izo6qdh1ypa33xz2Ez4Lf,0.684,0.599,-7.481,0.0536,0.285,106.875,0.406,0.433
Lavender,Biig Piig,6h0u2pSqMV0JPvzsnA8hwg,0.795,0.329,-14.475,0.0297,0.769,102.484,0.111,0.214
Headlines,Drake,6LxSe8YmdPxy095Ux6znaQ,0.636,0.566,-7.16,0.106,0.365,151.894,0.0917,0.425
Everything Is Embarrassing,Sky Ferreira,7j3nbSiaWphYU2cFgyQXd9,0.667,0.783,-5.885,0.0361,0.0606,117.145,0.0418,0.564
With Love To An Ex (feat. Moonchild Sanelly),Gorillaz,4KAIfa7oABPJbKT4cUz4Tx,0.514,0.493,-9.797,0.136,0.201,76.416,0.15,0.519
Good Days,SZA,3YJJjQPAbDT7mGpX3WtQ9A,0.436,0.655,-8.37,0.0583,0.499,121.002,0.688,0.412
better off,Ariana Grande,3NbTQ8ZbHU6MSEVUFAVCJ9,0.597,0.524,-7.247,0.0537,0.216,92.568,0.112,0.0549
EARFQUAKE,"Tyler, The Creator",5hVghJ4KaYES3BFUATCYn0,0.554,0.498,-8.866,0.0685,0.23,79.635,0.795,0.413
drugs,EDEN,3OXpdrHLT4IqM76RajgM6Q,0.484,0.444,-6.935,0.0636,0.601,144.21,0.238,0.226
Like This,NF,5b1uZnebDRcR8XuBsDTPiO,0.685,0.563,-5.456,0.0714,0.323,85.501,0.111,0.3
In My Room,Frank Ocean,4S4Mfvv03M1cHgIOJcbUCL,0.861,0.647,-7.425,0.0675,0.594,158.037,0.114,0.67
Blue World,Mac Miller,2hwOoMtWPtTSSn6WHV7Vp5,0.742,0.553,-8.98,0.419,0.389,84.931,0.0694,0.508
Violence - Original Mix,Grimes,3KeOFns3LGJuh1lapMm9eA,0.533,0.9,-4.973,0.0495,0.00143,99.983,0.129,0.0795
Flesh without Blood,Grimes,4ZcGbQ5dOKX6rJk4yvza9R,0.481,0.965,-2.993,0.0875,0.000904,155.938,0.476,0.66
Fair Chance,Thundercat,7dZ83x0X0QnZfm1mvJ83bn,0.693,0.504,-11.621,0.0402,0.628,105.021,0.111,0.254
if i could i would feel nothing,blackbear,7pF0xW7MH9Tucfpb1Oys0R,0.632,0.525,-5.791,0.141,0.298,119.521,0.0799,0.923
rangerover - Bonus Track,Porches,2IM2fs9rVuDbqtuXpycvam,0.634,0.654,-5.351,0.0547,0.0584,149.782,0.199,0.782
Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,4iJyoBOLtHqaGxP12qzhQI,0.677,0.696,-6.181,0.119,0.321,90.03,0.42,0.464
Woods,Mac Miller,3Qa944OTMZkg8DHjET8JQv,0.779,0.362,-10.847,0.0474,0.135,85.011,0.111,0.46
In Cold Blood,alt-J,3bmxsQVFi8k7qfM5ULU8Me,0.491,0.748,-5.471,0.0374,0.143,143.448,0.273,0.59
Every Other Freckle,alt-J,0HV1cGoX5ASBlPA1pqH8fG,0.528,0.707,-7.626,0.0822,0.625,143.802,0.116,0.502
Hunger Of The Pine,alt-J,3Z0YN50RzRtmYre1bRG8H6,0.6,0.416,-9.553,0.0257,0.776,93.625,0.109,0.0786
Intro,alt-J,2RlSIKr5HH7RObrI8IvoUB,0.583,0.791,-8.571,0.0358,0.445,144.028,0.202,0.288
Deadcrush,alt-J,4ggJO4tFslcHUjaRJaapDy,0.65,0.619,-6.627,0.0657,0.0868,143.008,0.11,0.586
Parece Pouco,DUDA BEAT,07vk3VJ1MBuJ16EDT6GzbR,0.417,0.472,-10.979,0.0344,0.473,139.798,0.124,0.172
Waves of Nature,WILLOW,1zJMFf0EzbGCpL0zROfmVF,0.691,0.665,-6.502,0.0459,0.132,95.015,0.0773,0.327
positions,Ariana Grande,35mvY5S1H3J2QZyna3TFe0,0.737,0.802,-4.771,0.0878,0.468,144.015,0.0931,0.682
newbury park,Lexi Jayde,4ZeMEs9lhf7s83QHeqR432,0.679,0.688,-7.125,0.0365,0.221,120.005,0.0953,0.805
Volga,Cream Soda,5qr9PIZMCGVAHPCepRKFJb,0.694,0.825,-9.34,0.106,0.137,123.085,0.0987,0.282
Standing On The Shore,Empire of the Sun,7wME8torEQ606m3fj2XERm,0.586,0.882,-5.146,0.0344,0.00877,127.998,0.378,0.241
Signs,Drake,6Na5uKk5SsqZimk0hAWo8y,0.794,0.735,-4.204,0.054,0.108,107.374,0.112,0.223
lost cause// (feat. Jesse),KennyHoopla,3E4rKEdLtjQF9mfOhuAgSu,0.786,0.632,-6.6,0.0588,0.0457,115.991,0.116,0.679
Not You Too (feat. Chris Brown),Drake,3Q4gttWQ6hxqWOa3tHoTNi,0.458,0.452,-9.299,0.047,0.342,86.318,0.0703,0.316
Provider,Frank Ocean,6R6ihJhRbgu7JxJKIbW57w,0.654,0.325,-11.925,0.282,0.74,139.886,0.152,0.39
